comment,sentiment
"This is bad..: It has every cliched ""gang"",""bad cop"",""LA"",""Rookie caught between his partner and whats right"" scene going. One of the worst films Ive ever seen - on a par with trashy alian/monster B movies from the 1970s. Why Denzel was nominated & got an Oscar for this is a mystery.Why Amazon recomended it for my wish list is another!!!!I gave it one star because LA has some good restaurants....",0
"It's his training day.: I saw this movie on tv once. My sister-in-law kept asking questions about it. Mostly my answer was just ""It's his training day"", as if repeating this helped answer the question of what was going on. I also speak louder to deaf people so they can hear me. The movie was bleh. Denzel Washington has one of the most symmetrical faces in Hollywood.",0
The most mundane cliched junk I've seen in a long time.: Training Day is mildly interesting in its previews and sets you up expecting a clever and scintillating day with a crooked cop. The only thing it truly succeeds at is pulling every cliche out of bad cop film history and throwing it out without even a scintilla of wit. The film is formulaic and very woman-hating from start to finish. Something more interesting to see would be Mamet's Heist.,0
(;D): The headline summarizes the movie! Denzel gets the Oscar for this one. Forget Russel Crowe and his Beautiful Mind. Ethan was so brilliantly subtle. Denzel u r the best! U made Popoye Doyle look like a wimp!i'm glad denzel got the oscar for traing day BUT i think he more deserve it for Malcom X,1
"Too much unbelievability: Denzel is a great actor, and I enjoyed the overall story, however there are way too many unbelievable scenes. Try running around LA pointing your gun at cars, people on the street, fighting in the street, and see how long it takes.",0
"What an awful movie: I thought with the Oscar award given to Denzel that this would be a great movie, with great acting. Boy was I disappointed, what a stinker. If this is indicative of how Oscars get selected, I guess garbage like this will win many more. Don't waste your time or money.",0
"Predictably Ridiculous!!: Even Denzel, a fine actor, after recieving his academy award said this film was ""..not his best work"" Definitely one for the 18 to 24 year old market because I certainly didn't like it.",0
"He did not deserve to win for this role: Although Russell Crowe is a talented actor I was really hoping Denzel would take home the Oscar that he deserved. After watching this movie, I was saddened that it was for such a horrible role. This was one of the worst movies I have ever seen. Russell Crowe did have a lot of controversary around him at the time of the votes, his performance as John Nash was far superior to Denzel in this movie. I realize Denzel got the award more for his body of work however, it's really sad that they gave him the Oscar for such a poor role.",0
"Trash Day: I fortunately discipline myself to rent a DVD before purchasing one with few exceptions. This was a waste of money to rent, and I would not recommend purchasing the movie. It was typical trash, and if your'e into glorifying gangsters, drugs, slums, and bad cops, and generally, an ""anything for a buck"" movie--this may be of interest to you. Insofar as an academy award for best actor--it had to be a political pick as surely quality acting was not criteria for this winner.",0
"It's hard to believe...: ...that this film received anything other than a Turkey of the Year Award, much less the Oscar nominations. Between the offensive black stereotype portrayals, the blatant gaping plotholes, and the outrageously unrealistic action climax this was the worst film I saw in 2001. It's nice that Denzel got recognized for his rich acting career, but this wasn't the film to award and is ironic that it is his most one-dimensional stereotypical role.",0
"...: I rented this movie excited to see Denzel and his academy winning performance. Instead of being entertained, I was bored to tears. My husband only sat through half of the movie and he can tolerate anything!!! I forced myself to watch it to the end and though it was a complete waste of time. Yet, my sister watched the movie and loved it. Everybody has their own opinions, ...",0
"We read this book time and time again!: We read this book with our daughter when she was in pre-K and Kindergarten many, many times. Particularly enjoyable was that ""Mister Rogers"" went through some of the typical problems little kids have when they're just learning to form friendships and explained how they could be resolved in a soothing manner. I think it's a lot harder to grow up today than it used to be, and I'm glad Fred Rogers is there to help ease the way.",1
"LOVE this book: I LOVE this book. It gets its message clearly across in photographs of real kids & adults interacting, as well as in words. Highly recommended.",1
Life like photos: Very nice large photos. Yes they look a little dated but that does not take away from the charm of the book and the natural photos of the kids interacting as friends. Great addition to a pre-school classroom.,1
"great book for learning: Mr. Rogers works!I bought for my then 2yr old son as he started his preschool.He read it many times until he memorized the whole book, and used it.",1
excellent: I hope there are more of this type of books witten by this author it was great and the little twists and turns keep you interested until you read the last page,1
great indoor grill: Great for city dweller with no access to an outdoor grill and a small stovetop. The cast iron infuses food with smoky flavor and it's actually easier to clean than I thought.,1
"One of the dumbest books I've ever read.....: I don't like rating books with a 1 rating but it was a close decision with this one. This book was a waste of money and time and I only hope I can be convinced to read more VLT's books since this was my first.I hated all the euphemisms and how she made the female characters into such hicks. My family is originally from the south and even back in those days they didn't act or talk like these two women.I didn't like Gen or Jackson but did like the mother and Matt. One thing that bothered me about Annabelle though, was that she was 41 yrs. old but had thoughts like she was 80.",0
"Okay: I had high hopes for this book, but they were dashed within the first few paragraphs of this book. This book was just too unbelievable. From the sordid past of a girl from The Hollows in Tennessee to the stuck on a desert island with the computer programmer who turns out to be hot, the storyline was a bit too much. I admit that I did some skipping of pages here and there in order to get to the end to see what happened. I just had to know. :)",0
"Predictable: I thought I'd like this book because it sounded sexy, funny, imaginative. It was....in some parts of the book, but as a whole, it was predictable. The story line was cute, but the whole ""mom and boss"" romance was a let down. I gave this book two stars because some of it took me by surprise, but not much.",0
"Boring: What a waste of a day reading this. Made the people of Tenn look like ""nerds"". I like a good love story but this was just trash. Don't waste your time. No plot was so easy to see thru this just skimmed that last chapters.",0
"Awsome Book: its an exciting adventurous book, i couldn't keep my eyes off the book and it was an excellent storyline, even though it was too predictable it still kept me on the edge.",1
"Unreadable - Not trashy, just bad: I bought this book in hopes of a guilty pleasure. But the only one who's guilty is the writer -- of extremely bad writing. The whole thing reads like a painful freshman exercise in creative composition. The analogies are excruciating and the whole story is what comics would call ""hack."" Search for better trash elsewhere, perhaps an ""old-reliable"" like Jackie Collins or Judith Krantz.",0
"No morals, no brain: I love Vicki Lewis Thompson--have read most of her books and find her funny and her characters believable.But not in this book. I couldn't stand the heroine. As much as I tried to, I can't like a young woman who is out for sex with any man who shows up. She lost her virginity when she was 15 to a kid who promised he'd take her to the movie. She plans to have sex with her boss who she knows takes a different secretary to his weekend meeting to have sex with her--the idea that she plans to marry him doesn't excuse her. It makes her sound even dumber. Then she has the hots for the nerd in no time.I also disliked her showing people from Tennessee as ignorant idiots who talk funny and have several illigitimate children because the women can't say ""no"".Try something else by VLT--her other books are great.",0
"Sexy, fun read!: ""Nerd in Shining Armor"" by Vicki Lewis Thompson is a great book. This book has every thing:Great Characters, local to die for. This is the story of two people who would never think of hooking, but after crash landing on a desert island, they are forced to a second look at each other. A decide that they like what they see.Besides great main characters, Ms. Lewis-Thompson, gives the reader well developed secondary characters that work well in the story. Overall, this is a summer book that you don't want to miss!",1
"GOOD TITLE AND SYNOPSIS - STORY ITSELF A FLOP: I had every intention to enjoy this book. It had a great story idea-being stranded on a deserted island with a nerd. What a great opportunity for the author to work on conflicts, romance, and smoldering love scenes.Instead, the protagonist is a cheap hillbilly whore that musters up anything but sympathy. Perhaps the book would have improved if she were to become SHARK BAIT!The only redeeming character was the nerd, although he was a little too wimpy for my taste.The synopsis had fantastic potential - but a hard lesson was learned: You cannot judge a book by its cover!THE AUTHOR DROPPED THE BALL!I'll be honest. I never finished the book. It was THAT hard to swallow!I only recommend this book for future romance novelists. This book will teach you WHAT NOT TO DO!",0
